No cut
10x: PSNR: 49.2163 dB, SSIM: 0.9966
50x: PSNR: 42.1531 dB, SSIM: 0.9874
100x: PSNR: 39.0188 dB, SSIM: 0.9814
200x: PSNR: 37.3065 dB, SSIM: 0.9752

10x: PSNR: 42.5449 dB, SSIM: 0.9874
50x: PSNR: 42.9348 dB, SSIM: 0.9898
100x: PSNR: 43.4096 dB, SSIM: 0.9901
200x: PSNR: 41.1005 dB, SSIM: 0.9876

[90:500, 450:650]
10x: PSNR: 40.5539 dB, SSIM: 0.9801
50x: PSNR: 33.8426 dB, SSIM: 0.9275
100x: PSNR: 30.1947 dB, SSIM: 0.8895
200x: PSNR: 28.6465 dB, SSIM: 0.8570

10x: PSNR: 37.5877 dB, SSIM: 0.9537
50x: PSNR: 37.6017 dB, SSIM: 0.9613
100x: PSNR: 37.5681 dB, SSIM: 0.9603
200x: PSNR: 35.1830 dB, SSIM: 0.9516

[90:280, 500:600]
10x: PSNR: 40.7478 dB, SSIM: 0.9753
50x: PSNR: 33.2837 dB, SSIM: 0.8945
100x: PSNR: 29.7508 dB, SSIM: 0.8318
150x: PSNR: 28.2577 dB, SSIM: 0.8038
200x: PSNR: 27.4776 dB, SSIM: 0.7789

10x: PSNR: 40.3015 dB, SSIM: 0.9677
50x: PSNR: 40.0787 dB, SSIM: 0.9693
100x: PSNR: 39.0313 dB, SSIM: 0.9614
150x: PSNR: 37.7878 dB, SSIM: 0.9560
200x: PSNR: 35.5774 dB, SSIM: 0.9405
